,Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,Telephone
0,1,1,18,3,2,1049,1,1,4,1,2,21,2,1,1,2,1
1,1,1,9,3,0,2799,1,2,2,2,1,36,2,1,2,2,1
2,1,2,12,2,0,841,2,3,2,1,1,23,2,1,1,1,1
3,1,1,12,3,0,2122,1,2,3,2,1,39,2,1,2,1,1
4,1,1,12,3,0,2171,1,2,4,2,2,38,1,2,2,1,1
5,1,1,10,3,0,2241,1,1,1,2,1,48,2,1,2,1,1
6,1,1,8,3,0,3398,1,3,1,2,1,39,2,2,2,1,1
7,1,1,6,3,0,1361,1,1,2,2,1,40,2,2,1,1,1
8,1,3,18,3,3,1098,1,1,4,1,3,65,2,2,2,1,1
9,1,2,24,2,3,3758,3,1,1,1,4,23,2,1,1,1,1
10,1,1,11,3,0,3905,1,2,2,2,1,36,2,1,2,2,1
11,1,1,30,3,1,6187,2,3,1,3,3,24,2,1,2,2,1
12,1,1,6,3,3,1957,1,3,1,1,3,31,2,2,1,2,1
13,1,2,48,3,0,7582,2,1,2,2,4,31,2,2,1,3,2
14,1,1,18,2,3,1936,4,3,2,3,3,23,2,1,2,1,1
15,1,1,6,2,3,2647,3,2,2,2,1,44,2,1,1,2,1
16,1,1,11,3,0,3939,1,2,1,2,1,40,2,2,2,1,1
17,1,2,18,2,3,3213,3,1,1,3,1,25,2,1,1,2,1
18,1,2,36,3,3,2337,1,4,4,2,1,36,2,2,1,2,1
19,1,3,11,3,0,7228,1,2,1,2,2,39,2,2,2,1,1
20,1,1,6,3,0,3676,1,2,1,2,1,37,2,1,2,2,1
21,1,2,12,3,0,3124,1,1,1,2,1,49,1,2,2,1,1
22,0,2,36,2,3,2384,1,1,4,2,4,33,2,1,1,1,1
23,1,2,12,3,3,1424,1,3,4,2,2,26,2,2,1,2,1
24,1,1,6,3,0,4716,4,1,1,2,1,44,2,2,2,1,1
25,1,2,11,3,3,4771,1,3,2,2,2,51,2,2,1,2,1
26,1,1,12,2,2,652,1,4,4,1,2,24,2,1,1,2,1
27,1,2,9,3,3,1154,1,4,2,2,1,37,2,2,2,1,1
28,1,3,15,2,0,3556,4,2,3,2,4,29,2,2,1,2,1
29,1,3,42,3,1,4796,1,4,4,2,4,56,2,3,1,2,1
30,1,3,30,3,3,3017,1,4,4,2,2,47,2,2,1,2,1
31,1,3,36,3,0,3535,1,3,4,2,3,37,2,2,2,2,2
32,1,3,36,3,0,6614,1,4,4,2,3,34,2,2,2,3,2
33,1,3,24,2,3,1376,3,3,4,1,3,28,2,2,1,2,1
34,1,1,15,2,0,1721,1,1,2,2,1,36,2,2,1,2,1
35,1,1,6,3,0,860,1,4,1,1,4,39,2,2,2,2,2
36,1,3,12,3,0,1495,1,4,4,2,1,38,2,2,2,1,1
37,1,3,12,3,3,1934,1,4,2,2,4,26,2,2,2,2,1
38,1,3,18,2,1,3378,4,2,2,2,2,31,2,2,1,2,2
39,1,3,24,3,1,3868,1,4,4,1,3,41,2,1,2,3,2
40,1,3,12,3,3,996,4,3,4,1,1,23,2,2,2,2,1
41,1,1,24,2,0,1755,1,4,4,1,1,58,2,2,1,1,2
42,1,3,18,3,0,1028,1,2,4,1,1,36,2,2,2,2,1
43,1,2,24,3,0,2825,4,3,4,2,4,34,2,2,2,2,2
44,1,2,18,2,3,1239,4,2,4,2,4,61,2,3,1,2,1
45,0,1,18,2,0,1216,1,1,4,1,3,23,2,1,1,2,2
46,1,3,24,2,0,1258,1,3,4,2,1,25,2,2,1,2,2
47,0,3,18,3,3,1864,2,2,4,1,1,30,2,2,2,2,1
48,1,3,24,2,0,1474,2,1,4,3,1,33,2,2,1,2,2
49,1,1,24,3,0,1382,2,3,4,2,1,26,2,2,2,2,2
50,1,3,12,2,0,640,1,2,4,1,1,49,2,2,1,1,1
51,1,3,36,2,3,3919,1,2,2,2,1,23,2,2,1,2,2
52,1,3,9,3,0,1224,1,2,3,2,1,30,2,2,2,2,1
53,1,3,12,3,3,2331,4,4,1,2,1,49,2,2,1,2,2
54,1,3,24,2,1,6313,4,4,3,2,3,41,2,2,1,3,2
55,1,1,12,3,3,385,1,3,4,1,1,58,2,2,2,1,2
56,1,3,12,3,3,1655,1,4,2,2,1,63,2,2,2,1,2
57,1,1,15,2,3,1053,1,1,4,3,1,27,2,2,1,2,1
58,1,3,21,2,3,3160,4,4,4,2,2,41,2,2,1,2,2
59,1,3,36,2,0,3079,4,2,4,2,1,36,2,2,1,2,1
60,1,3,12,3,0,1163,3,2,4,2,1,44,2,2,1,2,2
61,1,3,24,2,1,2679,1,1,4,1,4,29,2,2,1,3,2
62,1,3,48,3,3,3578,4,4,4,2,1,47,2,2,1,2,2
63,1,3,36,3,0,10875,1,4,2,2,3,45,2,2,2,2,2
64,1,1,12,3,0,1344,1,2,4,2,1,43,2,2,2,1,1
65,1,3,6,3,3,1237,2,2,1,1,2,27,2,2,2,2,1
66,1,3,12,2,3,3077,1,2,2,2,3,52,2,2,1,2,2
67,1,3,24,2,3,2284,1,3,4,2,3,28,2,2,1,2,2
68,1,2,12,2,3,1567,1,2,1,1,3,22,2,2,1,2,2
69,1,3,24,3,0,2032,1,4,4,2,4,60,2,3,2,2,2
70,1,2,21,3,2,2745,3,3,3,2,3,32,2,2,2,2,2
71,1,3,30,2,3,1867,4,4,4,2,3,58,2,2,1,2,2
72,1,3,36,2,3,2299,3,4,4,2,3,39,2,2,1,2,1
73,1,3,24,2,2,929,4,3,4,2,3,31,1,2,1,2,2
74,1,3,12,2,3,3399,4,4,2,2,3,37,2,2,1,3,1
75,1,2,9,2,2,2030,4,3,2,2,3,24,2,2,1,2,2
76,1,3,21,3,1,3275,1,4,1,2,3,36,2,2,1,3,2
77,1,3,24,3,0,1940,3,4,4,2,1,60,2,2,1,2,2
78,1,1,21,3,0,1602,1,4,4,3,3,30,2,2,2,2,2
79,1,3,15,2,3,1979,4,4,4,2,3,35,2,2,1,2,1
80,1,3,24,3,0,2022,1,2,4,1,3,37,2,2,1,2,2
81,1,3,36,3,3,3342,4,4,4,2,3,51,2,2,1,2,2
82,1,2,18,2,0,5866,2,2,2,2,3,30,2,2,2,2,2
83,1,3,15,3,1,2360,3,2,2,2,3,36,2,2,1,2,2
84,1,3,15,3,2,1520,4,4,4,2,2,63,2,2,1,2,1
85,1,1,12,2,0,3651,3,2,1,2,2,31,2,2,1,2,1
86,1,3,24,3,1,2346,1,3,4,2,3,35,2,2,2,2,2
87,1,3,36,3,3,4454,1,2,4,1,1,34,2,2,2,2,1
88,1,1,6,3,0,666,3,3,3,1,1,39,2,2,2,1,2
89,1,2,24,3,0,1965,4,2,4,1,3,42,2,1,2,2,2
90,1,2,12,3,0,1995,2,1,4,2,3,27,2,2,1,2,1
91,1,2,30,2,3,2991,4,4,2,1,3,25,2,2,1,2,1
92,1,2,30,1,0,4221,1,2,2,1,3,28,2,2,2,2,1
93,1,1,9,2,3,1364,1,3,3,2,1,59,2,2,1,2,1
94,1,2,18,3,2,6361,1,4,2,2,4,41,2,2,1,2,2
95,1,3,27,3,2,4526,3,1,4,2,1,32,1,2,2,1,2
96,1,2,12,3,3,3573,1,2,1,1,1,23,2,2,1,1,1
97,0,2,36,3,0,4455,1,2,2,1,1,30,1,2,2,3,2
98,1,1,9,2,2,2136,1,2,3,2,1,25,2,2,1,2,1
99,1,2,42,3,0,5954,1,3,2,1,1,41,1,2,2,1,1
100,1,3,24,3,2,3777,3,2,4,2,1,40,2,2,1,2,2
101,1,1,15,2,0,806,1,2,4,1,2,22,2,2,1,1,1
102,1,2,24,3,0,4712,4,2,4,2,2,34,1,2,2,3,2
103,1,2,36,3,0,7432,1,2,2,1,2,54,2,1,1,2,1
104,1,3,24,3,3,1851,1,3,4,3,3,33,2,2,2,2,2
105,1,3,24,2,0,1393,1,2,2,2,1,31,2,2,1,2,2
106,1,3,12,3,0,1412,1,2,4,1,1,29,2,2,2,3,2
107,1,3,18,2,3,1473,1,1,3,3,1,39,2,2,1,2,2
108,1,3,24,2,3,1533,1,1,4,1,3,38,1,2,1,2,2
109,1,3,12,3,3,2012,4,3,4,1,3,61,2,2,1,2,1
110,0,1,15,2,0,3959,1,2,3,1,2,29,2,2,1,2,2
111,1,1,6,2,2,428,1,4,2,1,2,49,1,2,1,2,2
112,1,2,12,3,0,2366,3,3,3,1,3,36,2,2,1,3,2
113,1,3,12,2,2,763,1,2,4,1,1,26,2,2,1,2,2
114,1,2,21,2,2,3976,4,3,2,2,3,35,2,2,1,2,2
115,1,2,18,2,0,6260,1,3,3,2,1,28,2,1,1,1,1
116,1,2,9,3,2,1919,1,3,4,2,3,35,2,1,1,2,2
117,1,3,24,2,1,2603,3,2,2,1,3,28,2,1,1,2,2
118,1,3,9,3,3,936,3,4,4,2,3,52,2,2,2,2,2
119,1,3,24,2,2,3062,3,4,4,2,4,32,2,1,1,2,2
120,1,2,36,2,3,4795,1,1,4,1,4,30,2,2,1,3,2
121,1,3,36,3,1,5842,1,4,2,2,2,35,2,2,2,2,2
122,1,2,6,2,3,2063,1,1,4,3,3,30,2,1,1,3,2
123,1,3,15,3,3,1459,1,2,4,1,3,43,2,2,1,1,1
124,1,3,15,2,3,1213,3,4,4,2,2,47,1,2,1,2,2
125,1,3,24,3,3,5103,1,1,3,3,4,47,2,3,2,2,2
126,1,3,15,2,3,874,4,1,4,1,1,24,2,2,1,2,1
127,1,3,6,2,2,2978,3,2,1,2,3,32,2,2,1,2,2
128,1,3,18,2,0,1820,1,2,2,3,2,30,2,2,1,3,2
129,1,3,24,3,3,2872,2,4,3,2,1,36,2,2,1,2,2
130,1,3,24,2,2,1925,1,2,2,2,1,26,2,2,1,2,1
131,1,3,18,2,2,2515,1,2,3,2,1,43,2,2,1,2,2
132,1,3,6,2,2,2116,1,2,2,2,1,41,2,2,1,2,2
133,1,3,18,2,3,1453,1,1,3,1,1,26,2,2,1,2,1
134,1,3,10,2,0,1364,1,2,2,1,3,64,2,2,1,2,2
135,1,3,6,2,2,1543,3,2,4,1,1,33,2,2,1,2,1
136,1,2,12,2,0,1318,3,4,4,2,1,54,2,2,1,2,2
137,1,1,24,1,0,2325,2,3,2,2,3,32,1,2,1,2,1
138,1,2,6,3,0,932,4,3,1,1,2,39,2,2,2,1,1
139,1,3,24,3,3,3148,4,2,3,2,3,31,2,2,2,2,2
140,1,3,36,2,3,3835,4,4,2,1,1,45,2,2,1,1,2
141,1,3,9,2,3,3832,4,4,1,2,1,64,2,2,1,1,1
142,1,2,24,2,3,5084,4,4,2,1,3,42,2,2,1,2,2
143,1,3,9,3,2,2406,1,1,2,2,3,31,2,2,1,3,1
144,1,3,36,2,3,2394,4,2,4,1,3,25,2,2,1,2,1
145,1,3,21,2,1,2476,4,4,4,2,1,46,2,2,1,3,2
146,1,1,24,2,1,2964,4,4,4,2,4,49,1,3,1,2,2
147,1,1,12,2,2,1262,4,4,2,1,2,49,2,2,1,1,2
148,1,3,12,2,0,1542,1,3,2,2,3,36,2,2,1,2,2
149,1,2,24,3,3,1743,1,4,4,2,2,48,2,2,2,1,1
150,1,3,12,1,3,409,3,2,3,1,1,42,2,1,2,2,1
151,1,3,12,2,3,2171,1,1,2,1,3,29,1,2,1,2,1
152,1,3,48,3,1,8858,4,3,2,2,4,35,2,3,2,2,2
153,1,2,24,2,0,3512,2,3,2,2,3,38,1,2,2,2,2
154,1,2,12,2,3,1158,3,2,3,1,3,26,2,2,1,2,2
155,1,3,24,3,3,2684,1,2,4,2,1,35,2,2,2,1,1
156,1,1,12,2,3,1498,1,2,4,1,3,23,1,2,1,2,1
157,1,3,30,3,3,5954,1,3,3,2,3,38,2,2,1,2,1
158,0,2,48,1,0,6416,1,4,4,1,4,59,2,1,1,2,1
159,1,2,12,3,2,3617,1,4,1,2,3,28,2,1,2,2,2
160,1,3,12,3,3,1291,1,2,4,1,2,35,2,2,2,2,1
161,1,3,24,3,0,1275,3,2,2,1,1,36,2,2,2,2,2
162,1,3,24,2,2,3972,1,3,2,1,2,25,2,1,1,2,2
163,1,3,15,3,2,3343,1,2,4,2,4,28,2,3,1,2,2
164,1,3,15,2,3,392,1,1,4,1,2,23,2,1,1,2,2
165,1,3,9,3,0,2134,1,2,4,2,3,48,2,2,2,2,2
166,1,3,30,3,3,5771,1,3,4,1,3,25,2,2,2,2,1
167,1,3,24,3,0,4526,1,2,3,2,1,74,2,2,1,3,2
168,1,3,15,3,2,2788,1,3,2,1,3,24,1,2,2,2,1
169,1,3,6,3,3,1382,1,2,1,1,3,28,2,2,2,2,2
170,1,3,36,2,3,5848,1,2,4,2,3,24,2,2,1,2,1
171,0,1,12,2,0,1228,1,2,4,1,1,24,2,2,1,1,1
172,1,3,12,2,3,1297,1,2,3,3,1,23,2,1,1,2,1
173,1,3,24,2,3,1552,1,3,3,2,3,32,1,2,1,2,1
174,1,3,12,2,3,1963,1,3,4,2,3,31,2,1,2,3,2
175,1,3,24,2,3,3235,3,4,3,1,3,36,2,2,1,3,2
176,1,3,24,3,0,4139,2,2,3,2,2,27,2,2,2,1,2
177,1,2,12,3,1,1804,2,1,3,2,2,44,2,2,1,2,1
178,1,3,18,2,0,1950,1,3,4,2,3,34,1,2,2,2,2
179,1,3,48,3,3,12749,3,3,4,2,3,37,2,2,1,3,2
180,1,3,9,2,3,1236,1,1,1,1,1,23,2,1,1,2,2
181,1,3,18,3,0,1055,1,1,4,1,2,30,2,2,2,2,1
182,1,1,30,1,0,8072,4,1,2,2,3,25,1,2,2,2,1
183,1,3,30,3,3,2831,1,2,4,1,3,33,2,2,1,2,2
184,1,3,9,2,0,1449,1,3,3,1,3,27,2,2,2,2,1
185,1,3,36,2,0,5742,2,3,2,2,3,31,2,2,2,2,2
186,1,3,12,2,0,2390,4,4,4,2,3,50,2,2,1,2,2
187,1,3,24,2,3,3430,3,4,3,2,3,31,2,2,1,2,2
188,1,2,36,2,3,2273,1,3,3,2,3,32,2,2,2,2,1
189,1,3,21,2,0,2923,2,2,1,1,3,28,1,2,1,3,2
190,1,3,24,2,3,1901,2,2,4,2,3,29,2,1,1,3,2
191,1,2,36,2,3,3711,4,2,2,3,3,27,2,2,1,2,1
192,1,2,48,2,0,8487,4,3,1,1,3,24,2,2,1,2,1
193,1,3,24,2,0,2255,4,1,4,2,2,54,2,2,1,2,1
194,1,3,12,2,3,1262,1,2,3,2,3,25,2,2,1,2,1
195,1,3,33,3,1,7253,1,3,3,2,3,35,2,2,2,3,2
196,1,3,6,3,0,6761,1,3,1,2,4,45,2,2,2,3,2
197,1,3,18,3,2,1817,1,2,4,1,4,28,2,2,2,2,1
198,1,3,12,2,3,2141,2,3,3,2,4,35,2,2,1,2,1
199,1,3,48,1,0,3609,1,2,1,1,1,27,1,2,1,2,1
200,1,3,30,2,3,2333,3,4,4,2,3,30,1,2,1,3,1
201,1,3,28,1,1,7824,4,1,3,2,1,40,1,1,2,2,2
202,1,3,18,1,3,1445,4,3,4,2,3,49,1,2,1,1,1
203,1,1,24,2,2,7721,4,1,1,1,2,30,2,2,1,2,2
204,1,1,21,2,0,3763,4,3,2,2,1,24,2,2,1,1,1
205,1,2,18,2,0,4439,1,4,1,2,1,33,1,2,1,3,2
206,1,1,12,2,3,1107,1,2,2,2,1,20,2,1,1,3,2
207,1,2,15,2,3,1444,4,1,4,2,2,23,2,2,1,2,1
208,1,2,48,1,0,12169,4,1,4,2,4,36,2,3,1,3,2
209,1,3,9,2,3,2753,2,4,3,2,3,35,2,2,1,2,2
210,1,3,4,2,0,1494,4,1,1,2,1,29,2,2,1,1,1
211,1,1,24,1,2,2828,3,2,4,2,1,22,1,2,1,2,2
212,1,1,24,1,2,2483,3,2,4,2,1,22,1,2,1,2,2
213,1,3,6,3,0,1299,1,2,1,2,1,74,2,2,2,1,1
214,1,2,9,2,0,1549,4,1,4,2,1,35,2,2,1,1,1
215,1,3,10,2,0,3949,1,1,1,2,2,37,2,2,1,1,1
216,1,3,10,2,1,2901,4,1,1,1,1,31,2,1,1,2,1
217,1,3,6,2,0,709,3,1,2,3,1,27,2,2,1,1,1
218,1,1,47,2,0,10722,1,1,1,1,1,35,2,2,1,1,2
219,1,3,10,2,0,1287,4,4,4,2,2,45,2,2,1,1,1
220,1,1,18,1,3,1940,1,1,3,2,4,36,1,3,1,3,2
221,1,3,30,3,3,3656,4,4,4,2,2,49,1,2,2,1,1
222,1,3,24,3,1,4679,1,3,3,2,3,35,2,2,2,1,2
223,1,3,27,3,1,8613,3,2,2,2,3,27,2,2,2,2,1
224,1,1,18,2,2,2659,3,2,4,2,3,28,2,2,1,2,1
225,1,3,24,3,3,1516,3,2,4,1,1,43,2,2,2,1,1
226,1,1,18,2,0,4380,2,2,3,2,3,35,2,2,1,1,2
227,1,3,14,3,0,802,1,2,4,2,3,27,2,2,2,1,1
228,1,3,21,2,0,1572,3,4,4,1,1,36,1,2,1,1,1
229,1,2,48,1,0,3566,2,3,4,2,3,30,2,2,1,2,1
230,1,3,24,2,3,1278,1,4,4,2,1,36,2,2,1,3,2
231,1,3,6,1,3,426,1,4,4,3,3,39,2,2,1,1,1
232,1,3,39,2,1,8588,2,4,4,2,3,45,2,2,1,3,2
233,1,1,30,2,1,3857,1,2,4,1,2,40,2,2,1,3,2
234,0,2,12,2,0,685,1,3,2,3,3,25,1,2,1,1,1
235,1,1,24,2,3,1603,1,4,4,1,3,55,2,2,1,2,1
236,1,3,21,2,2,2241,1,4,4,2,1,50,2,2,2,2,1
237,1,1,24,2,3,2384,1,4,4,2,1,64,1,1,1,1,1
238,1,3,4,2,2,601,1,1,1,1,1,23,2,1,1,1,1
239,1,3,39,2,1,2569,3,2,4,2,3,24,2,2,1,2,1
240,1,3,15,3,3,1316,3,2,2,3,2,47,2,2,2,1,1
241,1,3,60,2,0,10366,1,4,2,2,2,42,2,2,1,3,2
242,1,3,18,2,0,1568,2,2,3,1,2,24,2,1,1,1,1
243,1,3,18,3,3,629,3,4,4,2,2,32,1,2,2,3,2
244,1,3,6,1,3,1750,3,4,2,2,2,45,1,2,1,1,1
245,1,3,24,2,1,3488,2,3,3,1,3,23,2,2,1,2,1
246,1,3,18,3,3,1800,1,2,4,2,3,24,2,2,2,2,1
247,1,3,24,3,2,4151,2,2,2,2,2,35,2,2,2,2,1
248,1,2,15,2,3,2631,2,2,3,1,1,25,2,2,1,1,1
249,1,3,21,2,1,5248,4,2,1,2,3,26,2,2,1,2,1
250,1,2,18,3,0,2899,4,4,4,2,3,43,2,2,1,2,1
251,1,2,18,3,3,6204,1,2,2,2,1,44,2,2,1,1,2
252,1,3,12,2,3,804,1,4,4,2,3,38,2,2,1,2,1
253,1,3,36,2,3,3595,1,4,4,2,3,28,2,2,1,2,1
254,1,3,36,3,1,5711,3,4,4,2,3,38,2,2,2,3,2
255,1,3,15,2,0,2687,1,3,2,2,2,26,2,1,1,2,2
256,1,1,15,3,2,3643,1,4,1,1,2,27,2,2,2,1,1
257,1,3,10,3,2,2146,1,1,1,1,1,23,2,1,2,2,1
258,1,1,10,2,3,2315,1,4,3,2,1,52,2,2,1,1,1
259,1,3,5,2,0,3448,1,3,1,2,1,74,2,2,1,1,1
260,1,3,15,2,2,2708,1,1,2,2,2,27,1,2,2,1,1
261,1,3,11,3,0,1393,1,1,4,1,3,35,2,2,2,3,1
262,1,3,10,2,2,1275,1,1,4,1,2,23,2,2,1,2,1
263,1,3,9,2,2,1313,1,4,1,2,3,20,2,2,1,2,1
264,1,3,12,2,3,1493,1,1,4,1,3,34,2,2,1,2,1
265,1,3,22,2,3,2675,3,4,3,2,3,40,2,2,1,2,1
266,1,2,9,2,3,2118,1,2,2,2,1,37,2,2,1,1,1
267,1,3,36,2,0,909,3,4,4,2,2,36,2,2,1,2,1
268,1,3,12,3,2,1258,1,1,2,1,2,22,2,1,2,1,1
269,1,3,15,1,3,1569,2,4,4,2,3,34,1,2,1,1,1
270,1,3,6,2,1,1236,3,2,2,2,2,50,2,1,1,2,1
271,1,3,36,3,2,7678,3,3,2,1,3,40,2,2,2,2,2
272,1,3,6,2,3,660,3,3,2,3,1,23,2,1,1,1,1
273,1,3,24,2,2,2835,3,4,3,2,2,53,2,2,1,2,1
274,1,3,24,2,1,2670,1,4,4,2,3,35,2,2,1,3,2
275,1,3,12,1,0,3447,3,2,4,1,1,35,2,2,1,1,1
276,1,3,15,2,3,3568,1,4,4,1,3,54,1,1,1,3,2
277,1,2,21,3,0,3652,1,3,2,2,2,27,2,2,2,2,1
278,1,1,24,2,3,3660,1,2,2,1,3,28,2,2,1,2,1
279,1,3,9,2,3,1126,2,4,2,1,1,49,2,2,1,2,1
280,1,3,6,3,3,683,1,1,2,1,2,29,1,2,1,2,1
281,1,3,12,2,2,2251,1,2,1,1,3,46,2,2,1,1,1
282,1,3,12,2,1,4675,4,1,1,1,3,20,2,1,1,2,1
283,1,2,21,3,0,2353,1,2,1,1,2,47,2,2,2,2,1
284,1,1,21,2,3,3357,3,1,4,1,3,29,1,2,1,2,1
285,1,3,6,2,0,672,1,1,1,1,1,54,2,2,1,1,2
286,1,1,6,3,3,338,3,4,4,2,3,52,2,2,2,2,1
287,1,3,9,2,3,2697,1,2,1,2,1,32,2,2,1,2,1
288,1,3,9,2,0,2507,3,4,2,2,4,51,2,3,1,1,1
289,1,3,15,3,3,1478,1,2,4,3,1,33,1,2,2,2,1
290,1,3,12,3,3,3565,4,1,2,2,2,37,2,2,2,1,1
291,1,3,15,2,2,2221,3,2,2,1,3,20,2,1,1,2,1
292,1,3,6,3,3,1898,4,2,1,2,1,34,2,2,2,1,1
293,1,2,6,3,0,1449,2,4,1,1,3,31,1,2,2,2,1
294,1,3,15,3,2,960,3,3,3,1,2,30,2,2,2,2,1
295,1,3,36,2,1,8133,1,2,1,1,2,30,1,2,1,2,1
296,1,3,9,2,2,2301,2,1,2,1,2,22,2,1,1,2,1
297,1,3,6,3,0,1743,2,2,1,2,1,34,2,2,2,1,1
298,1,2,12,2,2,983,3,1,1,1,1,19,2,1,1,1,1
299,1,3,18,3,3,2320,1,1,2,3,1,34,2,2,2,2,1
300,1,1,12,1,0,339,1,4,4,3,3,45,1,2,1,1,1
301,1,3,24,2,3,5152,1,3,4,2,3,25,1,2,1,2,1
302,1,3,24,2,2,3749,1,1,2,1,3,26,2,2,1,2,1
303,1,3,9,3,3,3074,4,2,1,2,1,33,2,2,2,2,1
304,0,3,9,2,3,745,1,2,3,1,1,28,2,2,1,1,1
305,1,3,24,2,0,1469,2,4,4,3,1,41,2,1,1,1,1
306,1,1,6,2,2,1374,1,2,1,2,1,36,1,2,1,1,2
307,1,3,6,1,0,783,4,2,1,2,1,26,1,2,1,1,1
308,1,1,21,2,3,2606,1,1,4,1,2,28,2,1,1,3,2
309,1,3,54,1,1,9436,4,2,2,2,2,39,2,2,1,1,1
310,1,3,12,3,3,930,4,4,4,2,1,65,2,2,2,2,1
311,1,3,48,3,1,2751,4,4,4,2,3,38,2,2,2,2,2
312,1,3,6,3,0,250,3,2,2,1,1,41,1,2,2,1,1
313,1,2,24,2,0,1201,1,1,4,2,2,26,2,2,1,2,1
314,1,1,6,2,0,662,1,1,3,2,1,41,2,2,1,1,2
315,1,3,15,2,1,1300,4,4,4,2,4,45,1,3,1,2,1
316,1,3,24,1,0,1559,1,3,4,2,3,40,1,2,1,2,2
317,1,3,12,2,3,3016,1,2,3,3,3,24,2,2,1,2,1
318,1,3,15,3,3,1360,1,2,4,2,2,31,2,2,2,2,1
319,1,3,6,1,0,1204,2,2,4,2,4,35,1,1,1,2,1
320,1,3,10,2,0,1597,3,2,3,2,4,40,2,1,1,1,1
321,1,3,12,2,3,2073,2,2,4,1,1,28,2,2,1,2,1
322,1,3,11,2,0,2142,3,4,1,1,1,28,2,2,1,2,2
323,1,1,10,3,2,2132,4,1,2,1,1,27,2,1,2,2,1
324,1,3,10,2,0,1546,1,2,3,2,1,31,2,2,1,1,1
325,1,3,24,3,0,1287,3,4,4,1,1,37,2,2,2,2,2
326,1,3,10,2,0,1418,2,2,3,2,1,35,2,1,1,1,1
327,1,3,6,3,0,1343,1,4,1,2,1,46,2,2,2,2,1
328,1,3,18,2,0,2662,4,3,4,2,2,32,2,2,1,2,1
329,1,3,18,3,3,6070,1,4,3,2,3,33,2,2,2,2,2
